term,definition,register_id,legislation_reference
Medical Review Officer (MRO),a Senior Police Medical Officer (SPMO) or Police Medical Officer (PMO) accredited by the Australian Medical Review Officers Association.,2,
Personnel,has the same meaning as employee in the VPM Dictionary and is used in this policy when directly referencing the legislation.,2,
Police Custody Officer (PCO),"a person employed under Part 4, Victorian Public Service Enterprise Agreement 2024 (VPS Agreement) and acting under s.200D or s.200AC, Victoria Police Act.",2,
Rostered on/off,"as defined by s.84, Victoria Police Act, personnel are: 'rostered on' when they have reported, or are required to report, for work in accordance with a roster, or are working a period of overtime in accordance with an industrial instrument 'rostered off' at all other times.",2,
Serious injury,"as defined by s.82, Victoria Police Act includes an injury that: is life threatening, or is likely to result in permanent impairment, or is likely to require long term rehabilitation, or is in the opinion of the Chief Commissioner, of such a nature, or occurred in such circumstances that the infliction of it is likely to bring Victoria Police into disrepute or diminish public confidence in Victoria Police.",2,
Victorian Public Service (VPS) employee,"means a person employed in Victoria Police under Part 3, Public Administration Act 2004. For the purposes of this policy, police custody officers (PCOs) are not included in this definition. For further definitions, refer to the VPM Dictionary.",2,Public Administration Act 2004
Authorised person,"under s.3, the Act is: a police officer a registered paramedic employed by an ambulance service a PSO a registered medical practitioner employed or engaged by a designated mental health service an authorised mental health practitioner a member of a prescribed class of person.",6,The Mental Health and Wellbeing Act 2022
Authorised health professional,"under s.231, the Act an authorised health professional is an authorised person who is also: a registered paramedic employed by an ambulance service a registered medical practitioner employed or engaged by a designated mental health service an authorised mental health practitioner a member of a prescribed class of person.",6,The Mental Health and Wellbeing Act 2022
Assessment Order,"an order made by a registered medical practitioner or authorised mental health practitioner where the practitioner has examined the person and is satisfied that: the person has a mental illness, and the person needs immediate treatment to prevent serious deterioration or harm to the person or another person, and there are no less restrictive means reasonably available to enable the person to receive treatment (s.144, the Act). An assessment order can either be a community assessment order or an inpatient assessment order.",6,The Mental Health and Wellbeing Act 2022
Bodily restraint,"physical or mechanical restraint of a person. Physical restraint means the use by a person of their body to prevent or restrict another person's movement. Mechanical restraint means the use of a device, such as handcuffs, to prevent or restrict a person's movement.",6,
Care and control,taking a person into care and control means apprehending a person under the Act.,6,The Mental Health and Wellbeing Act 2022
Examination,an evaluation undertaken by a registered medical practitioner or authorised mental health practitioner to determine if the person should be made subject to an assessment order.,6,
Mental health crisis,"a person is in mental health crisis if they meet the criteria under s.232, the Act.",6,The Mental Health and Wellbeing Act 2022
Seclusion,the sole confinement of a person to a room or any other enclosed space from which it is not within the control of the person confined to leave.,6,
Specified body,"under s.231, the Act means: a designated mental health service a prescribed mental health and wellbeing service provider a hospital (including a public, denominational or private hospital) a public health service within the meaning of the Health Services Act 1998.",6,Health Services Act 1998
Community Support Hub,"The Community Support Hub is a collection of online resources to support employees' understanding of human rights, cultural capability, community engagement and victims. These resources are designed to ensure employees have the tools and skills they need to build capability around respectful service delivery.",9,
Neighbourhood Policing (NHP),"NHP is a place-based, community policing and engagement model to standardise our community crime prevention efforts and improve safety at a local level. The NHP Framework has been developed to guide local police in strengthening relationships with their local community and partners, and in doing so, work with them to develop initiatives that seek to prevent crime in geographical areas that cause the most concern. The NHP Framework can be found on the NHP Intranet page.",9,
Priority communities,"Priority communities are those that have been identified as requiring additional focus in the delivery of police services. These communities may be overrepresented or underrepresented in their contact with police, either as offenders or victims, and/or have experienced long-standing or historical challenges in engaging with the police. Victoria Police's identified priority communities are; Aboriginal and Torres Strait Islander people, people with disability, Lesbian, Gay, Bisexual, Transgender, Intersex, and Queer (LGBTIQ) communities, people experiencing mental health issues, multicultural and multifaith communities, seniors, and young people.",9,
Affected person,a person who is directly affected by the employee conduct alleged in the complaint.,11,
Breach of discipline,"as per s.125, the Act, a police officer or protective services officer commits a breach of discipline if they: contravene a provision of the Act or Victoria Police Regulations fail to comply with a direction given under section 84 of the Independent Broad-based Anti-corruption Commission Act 2011 (IBAC Act) fail to comply with the Chief Commissioner's Instructions fail to comply with a direction given under Part 5, the Act refuse to consent to the use of evidence derived from a sample in the circumstances referred to in s.87, the Act fail to comply with a direction given under Division 1 or Part 9 of the IBAC Act refuse to consent to the use of evidence derived from a sample in the circumstances referred to in s.174, IBAC Act engage in conduct that is likely to bring Victoria Police into disrepute or diminish public confidence in it fail to comply with a lawful instruction given by the Chief Commissioner of Police (CCP), a police officer of or above the rank of senior sergeant or a person having the authority to give the instruction are guilty of disgraceful or improper conduct (whether in an official capacity or otherwise) are negligent or careless in the discharge of their duty apply for or hold a licence or permit to conduct any trade, business or profession, or accept any other employment without the approval of the Chief Commissioner act in a manner prejudicial to the good order or discipline of Victoria Police are charged and found guilty of an offence (whether under Victorian law or under the law of another place) aid, abet, counsel or procure, or by any act or omission are directly or indirectly knowingly concerned in, or a party to the commission of a breach of discipline.",11,Independent Broad-based Anti-corruption Commission Act 2011
Code of Conduct,the Victoria Police Code of Conduct prescribes behaviour expected of Victoria Police employees and provides clarity on their responsibilities and obligations in serving the community.,11,
Complainant,"the person who makes the complaint. This may be someone who wishes to report an incident they have witnessed, an affected person, or someone making a complaint on behalf of, or as an advocate for, the affected person.",11,
Complaint,a complaint arises when a person is dissatisfied or concerned about their interactions with Victoria Police or an employee of Victoria Police.,11,
Conduct,"as per s. 166, the Act, in relation to a police officer or protective services officer means: an act or decision, or the failure to act or make a decision, in the exercise, performance or discharge of a duty which the officer has as, or by virtue of being a police officer or protective services officer conduct which constitutes an offence punishable by imprisonment conduct likely to bring Victoria Police into disrepute or diminish public confidence in it disgraceful or improper conduct (whether in an official capacity or otherwise) as per s.166, the Act.",11,Independent Broad-based Anti-corruption Commission Act 2011
Employee,"all Victoria Police personnel, including police members, reservists, protective services officers, police custody officers, recruits and VPS employees.",11,
Injury,"as per s.246, the Act, injury means a personal or bodily injury and includes psychological or psychiatric injury.",11,Independent Broad-based Anti-corruption Commission Act 2011
Serious injury,"as per s.82, the Act, includes any injury that is either: life threatening likely to result in permanent impairment likely to require long term rehabilitation in the opinion of the Chief Commissioner, of such nature, or occurred in such circumstances, that the infliction of it is likely to bring Victoria Police into disrepute or diminish public confidence in Victoria Police.",11,Independent Broad-based Anti-corruption Commission Act 2011
Interim action,"action taken against a subject member reasonably believed to have committed, or having been charged with committing, a breach of discipline or criminal offence punishable by imprisonment to address the identified risk of that police member remaining in the workplace, including the risk to any person, the community, and/or the reputation of Victoria Police. In accordance with ss. 126, 127 and 135, the Act, interim action can include: where a police member is reasonably believed to have committed a breach of discipline, or to have committed an offence punishable by imprisonment: transfer the employee to other duties direct the subject employee to take accrued leave (other than personal leave) suspend the subject employee with pay where a police member has been charged with a breach of discipline, or charged with a criminal offence punishable by imprisonment: transfer the employee to other duties direct the subject employee to take accrued leave (other than personal leave) suspend the subject employee with or without pay.",11,Independent Broad-based Anti-corruption Commission Act 2011
Misconduct,"as per s. 166, the Act, in relation to a police officer or protective services officer means: conduct which constitutes an offence punishable by imprisonment conduct likely to bring Victoria Police into disrepute or diminish public confidence in it disgraceful or improper conduct (whether in an official capacity or otherwise) as per s.166, the Act. Police member (or member)- any employee, excluding VPS employees, employed by Victoria Police in accordance with s.7, the Act. This means police officer, protective services officer, recruit, and reservist.",11,Independent Broad-based Anti-corruption Commission Act 2011
Police supervisor,a police officer of the rank of sergeant or above.,11,
Public Interest Disclosure,"as per s.9, Public Interest Disclosures Act 2012 is a disclosure by a person of information that shows or tends to show: a person/public officer/public body has, is, or proposes to engage in improper conduct (as defined in s.4, Public Interest Disclosures Act 2012); or a public officer/public body has, is, or proposes to take detrimental action (as defined in s.3, Public Interest Disclosures Act 2012) against a person.",11,Public Interest Disclosures Act 2012
Public Interest Complaint,"as per s.3, Public Interest Disclosures Act 2012 is a public interest disclosure the IBAC has assessed and determined to be a public interest complaint.",11,Public Interest Disclosures Act 2012
Senior Investigation Officer,"the line manager of the complaint investigator, or someone higher in rank with suitable investigative skills.",11,
Senior manager,"for the purposes of responding to a Class 1 or 2 complaint, a senior manager includes: divisional patrol supervisor or equivalent for complaints and incidents relating to police attendance at incidents senior sergeant or above, or work unit manager for complaints and incidents not related to police attendance at incidents. senior manager does not include a supervising police custody officer.",11,
Subject employee/member,the employee/member against who the complaint is made. Subject employee is used where the requirement applies to all Victoria Police employees. Subject member is used where the requirement only applies to police members.,11,
VPS employee,a person employed by Victoria Police in accordance with the Public Administration Act 2004.,11,Public Administration Act 2004
Affected person,a person who is directly affected by the conduct alleged in the complaint.,12,
Appearance or attendance,"participation in a discipline process which may be virtual or in-person, unless expressly denoted.",12,
Breach of discipline,"in accordance with s.125, the Act, a breach of discipline is committed if a police member: contravenes a provision of the Act or Victoria Police Regulations 2014 fails to comply with a direction under s.84 of the Independent Broad-based Anti-corruption Act 2011 fails to comply with the Chief Commissioner's instructions fails to comply with a direction given under Part 5, the Act refuses to consent to the use of evidence derived from a sample in the circumstances referred to in s.87, the Act fails to comply with a direction given under Division 1, Part 9 of the Independent Broad-based Anti-corruption Commission Act refuses to consent to the use of evidence derived from a sample in the circumstances referred to in s.174 of the Independent Broad-based Anti-corruption Commission Act engages in conduct that is likely to bring Victoria Police into disrepute or diminish public confidence in it fails to comply with a lawful instruction given by the Chief Commissioner of Police (CCP), or a police officer of or above the rank of Senior Sergeant, or a person having authority to give the instruction is guilty of disgraceful or improper conduct (whether in their official capacity or otherwise) is negligent or careless in the discharge of their duty without the approval of the CCP: applies for or holds a licence or permit to conduct any trade, business or profession conducts any trade, business or profession; or accepts any other employment acts in a manner prejudicial to the good order or discipline of Victoria Police has been charged with an offence (whether under Victorian law or under a law of another place) and the offence has been found proven aids, abets, counsels or procures, or who, by any act or omission, is directly or indirectly knowingly concerned in, or a party to the commission of a breach of discipline.",12,Independent Broad-based Anti-corruption Act 2011; Victoria Police Regulations 2014
Criminal Charge Action Notice,written notification to the police member that sets out the details for an inquiry into a criminal charge punishable by imprisonment that has been found proven by a court.,12,
Discipline Inquiry Officer,the person authorised by the Deputy Commissioner to determine an inquiry into a police member.,12,
Discipline Charge Notice,a written notification to the police member that sets out details of the alleged breach/es of discipline,12,
Misconduct,"as defined in s.166, the Act, misconduct in relation to a police member means: conduct which constitutes an offence punishable by imprisonment; conduct likely to bring Victoria Police into disrepute or diminish public confidence in it disgraceful or improper conduct (whether in an official capacity or otherwise).",12,Independent Broad-based Anti-corruption Act 2011
Police member,"any employee, excluding VPS employees, employed by Victoria Police in accordance with s.7, the Act. This means police officer, protective services officer (PSO), recruit, and reservist.",12,Independent Broad-based Anti-corruption Act 2011
Subject member,a police member who is the subject of an investigation into a complaint.,12,
Subject member representative,"a person, other than a legal practitioner, representing the subject member at a discipline inquiry.",12,
Admonishment Notice,"an intervention used when a police member commits a minor breach of discipline, whether on or off duty, to support the discipline process.",15,
Discipline outcome,"an outcome from a disciplinary process, including interim action, resolution of professional conduct matters, Admonishment Notices and other discipline inquiry outcomes as per section 10, VPM Discipline.",15,
Discipline Intervention Program,"a process that allows affected and interested parties to apply to have their discipline investigation concluded early and progressed to a final outcome. Refer to section 14, VPM Complaints for further information.",15,
Interim action,"action taken under ss.126, 127, or 135, Victoria Police Act 2013 (the Act), against police officers or protective services officers who are reasonably believed to have committed or have been charged with a breach of discipline and/or a criminal charge punishable by imprisonment. Interim action includes: transferring the subject employee to other duties directing the subject employee to take accrued leave (other than personal leave); or suspending the subject employee with or without pay.",15,Victoria Police Act 2013
Police member (or member),"Any employee, excluding VPS employees, employed by Victoria Police in accordance with s.7, the Act. This means police officer, protective services officer, recruit, and reservist.",15,Victoria Police Act 2013
Professional conduct matter,"matters where the customer service or other behaviour of an employee has been inadequate or unsuitable, but does not constitute a complaint of misconduct. Professional conduct matters include, but are not limited to: customer service-based complaints minor breaches of police rules or procedures correspondence related issues complaints/allegations where an employee's performance has failed to achieve appropriate service or behavioural standards.",15,
Professional Conduct Resolution,"is a procedure that may be used to address professional conduct matters either at the time a complaint is made, or during the investigation of a complaint. PCR may be used at region, command or department level in order to resolve Class 3 complaints and other matters assessed as suitable by Professional Standards Command (PSC). Refer to section 5, VPM Complaints.",15,
Subject member,the police member who is the subject of the complaint and any subsequent related disciplinary process.,15,
Administrative duties,"includes the procurement, issue and receipt, storage, uploading, charging, testing, maintenance, transportation and disposal of a CED.",16,
Conducted energy device,an article designed or adapted to emit an electric current into a human body for the purposes of incapacitation.,16,
Discharge,electrical current delivered in probe deployment or drive stun mode.,16,
Qualified member,a member who: has qualified in the Victoria Police approved CED user course holds a current Operational Safety and Tactics Training (OSTT) qualification (inclusive of CED requalification) and is performing duties requiring the carriage of a CED as a part of those duties (refer to section 3.1 of this policy).,16,
Qualified employee,"an employee who has: qualified in the Victoria Police approved Victorian Police Learning Hub CED Awareness course and other mandatory CED training to undertake approved administrative duties of a CED, or qualified in the Victoria Police approved CED Awareness online course and other mandatory CED training and is undertaking official duties to deliver CED training.",16,
Use,includes the following: draw and cover warning arc probe deployment re energise drive stun mode.,16,
Draw and cover,"removing the CED from the holster, arming the CED and: covering the person, or having it at the ready in anticipation of entering a possible hostile environment.",16,
Drive stun mode,utilises the electrodes on the front of the CED to make contact with a person (either by pressing or pushing) and discharging a CED against them.,16,
Probe deployment,discharge of probes from a CED cartridge.,16,
Re energise,"following a successful probe deployment, re energising is the method of delivering a further cycle to a person through the existing probes and wires.",16,
Warning arc,audible and visible display of electricity arcing across the front of the CED to act as a deterrent. Also refer to the general VPM Dictionary for other definitions and acronyms.,16,
Conflict of Interest,"there are three types of conflict of interest. Although different in nature, each type of conflict can have the same impact upon public confidence and trust and must be managed appropriately: an actual conflict of interest is where a real conflict exists between an employee's private interests and their professional duties and responsibilities a potential conflict of interest arises where an employee has private interests that could conflict with their professional duties and responsibilities a perceived conflict of interest can exist where another person could form the view that a conflict exists between an employee's private interest and their professional duties and responsibilities, now or in the future.",17,
Declarable association,is any association that: is incompatible with the role of the employee and Victoria Police in serving the community may give rise to a perception in the mind of a reasonable person that an employee is not upholding their obligations as a Victoria Police employee may reflect adversely on the employee's standing and reputation in the eyes of the community as a Victoria Police employee.,17,
a high-risk person,"any person: suspected of, under investigation for, or known to be engaged in serious criminal activity or family violence offending charged with or has a conviction for an indictable offence and/or serious criminal activity and of a recency that it gives rise to a conflict of interest who is a member of a group or organisation known to be or suspected to be engaged in serious criminal activity who is a registered sex offender serving a custodial sentence, or post sentence order, or on parole.",17,
Legitimate business benefit,"activity that furthers the conduct of official business or other legitimate goals of the organisation, public sector or state or federal government.",17,
Official business,"activity that is consistent with Victoria Police's functions, strategic direction and objectives, and relates to an employee's role and responsibilities. This includes the expectation that senior staff build and maintain relationships that foster good will and cohesion between Victoria Police and government departments, external business partners and the community.",17,
Non-token offer,"a gift, benefit or hospitality with the value of $50 and above. Token offer -a gift, benefit or hospitality under the value of $50.",17,
Personal or intimate relationships,"consist of the following types of relationships: Familial relationship a relationship of spouse or de facto partner, parent/child. It also includes relationships with other relatives (such as siblings, an auntie or a second cousin) where the nature of that relationship meets the definition of a personal relationship. Intimate relationship is a consensual sexual, intimate and/or romantic relationship, between adults of any sex or gender identity. Relationships of this kind may be on a one-off, casual, periodic or regular basis. Personal relationship is a close relationship or close friendship.",17,
Professional relationship,a relationship between employees within an organisation that involves professional interactions.,17,
Private interest,"is any interest, association, or involvement which is undertaken as a private citizen (not linked to official Victoria Police tasks or duties, or on behalf of Victoria Police), including relationships, financial interests and involvements with clubs and associations etc.",17,
Outside interest,"leisure activities or unpaid work that pose an actual, potential or perceived conflict of interest.",17,
Secondary employment,"is where an employee: applies for or holds a licence or permit to conduct any trade, business or profession conducts or carries on any trade, business or profession undertakes any other form of employment.",17,
Vulnerable,"where a person is exposed to the possibility of harm, exploitation or negative influence. The person may be unable to identify and/or resist a hazard and therefore respond in a self-protective manner.",17,
Bulletin board,"situated on the intranet homepage, the bulletin board is for posting internal messages which may be relevant to the entire organisation or a specific cohort. All Victoria Police employees can post with the relevant approval.",19,
Corporate communication,"endorsed messages or publications issued via official Victoria Police communications channels, including global and targeted emails, the Victoria Police intranet, Viva Engage and Police Life.",19,
Latest news,"are news articles of organisational interest published by the Media, Communications and Engagement Department (MCED) on the intranet homepage.",19,
Employee engagement emails,are a type of global or targeted email sent from a relevant member of command's corporate email account for a specific reason.,19,
Gazette & Vacancies hubs,"separated into police and Protective Services Officer (PSO), and Victorian Public Service (VPS) and Executive vacancies, the vacancies hub promotes both short and long-term vacancies within Victoria Police and is located on the intranet homepage. The Gazette & Vacancies hubs are managed by Human Resources Command.",19,
Global emails,"are sent to all police, all PSOs, all VPS employees, or any combination of these three cohorts. There are only four types of permissible content for global emails: messages from the Chief Commissioner of Police (CCP) or Executive Command, including employee engagement emails urgent (life threatening) information notification to all Victoria Police employees of the death of a current employee (police officer, PSO or VPS) notification to all police and/or all PSOs in the event of a significant and urgent change to operational procedure.",19,
Intranet,"is the main source of information for all employees with current contact details, answers to commonly asked questions, forms, downloads and specific work unit information. During major incidents and emergencies, hubs may be created on the intranet to house and centralise information.",19,
KALOF,Keep a Look Out For (KALOF) is a document containing information and a picture of an item or person of interest that needs to be located. They are typically sent by police in the form of a targeted email or posted on Viva Engage.,19,
Police Life,"is Victoria Police's external editorial content brand, incorporating the Police Life podcast and online articles. Police Life shares stories about Victoria Police's people, initiatives and cases, providing the community with an insight into the organisation.",19,
Read-out instructions,"are used to disseminate concise corporate and operational information to frontline members. They are sent to station commanders via email on an as-needed basis for inclusion in station read-outs, targeting members from constable to sergeant.",19,
Targeted emails,"are sent to groups who have a specific role, interest or need to know information regarding the subject being communicated. You can target audiences by rank, region, unit or role. Targeted emails are sent to supervisors with instruction to cascade information to staff on a need-to-know basis. For instructions on how to send a targeted email, visit the Corporate Communications intranet page.",19,
Website,"refers to Victoria Police's external-facing web presence. Victoria Police's website contains useful information for the community in relation to Victoria Police and its services. It is managed by Digital Experience, MCED.",19,
Weekly Wrap Sheet,"is an online publication for employees providing organisational news and information. It is published on the intranet weekly and houses all news items, global emails, targeted emails, read-out instructions and Viva Engage highlights from that week.",19,
Viva Engage (previously Yammer),"is an enterprise organisational networking tool that Victoria Police employees can use to create communities of shared interests, post operational information and questions, comment on a variety of topics and engage with the broader organisation.",19,
Comment,"includes, but is not limited to, writing something; uploading content; liking, sharing or re-posting someone else's content.",20,
Content,"refers to text, articles, comments, images, videos, audio recordings and all other multimedia which may be shared online.",20,
Official online activities,"includes overt online activity, overt research, discreet and covert activities, refer to VPM Official online activities.",20,
Online persona,means a fictitious online identity used legitimately in support of official online activities on the internet or other computer network. Refer to VPM Assumed identities and online personas.,20,
Personal use,"is the ordinary use of personal social media accounts, unrelated to employment.",20,
Political content,"means any content that overtly or by inference suggests support for a political party or a particular view that is, or is likely to be, the focus of political debate.",20,
Public comment,"means a comment made on public facing platforms that are open to anyone where information can be posted, read or shared without restriction. This may include a private comment that becomes a public comment by being shared or disseminated by another person and there was a foreseeable risk of that occurring.",20,
Social media,"extends beyond traditional platforms such as Twitter and Facebook and includes (but is not limited to) online forums, networking sites, video and photo sharing websites, blogs and podcasts.",20,
Case file,consists of all 'hard copy' documentation collected during initial action and recorded on the Investigation Case File [Form 1313] and any subsequent documentation collected during an investigation.,25,
Frontline unit,"uniform, highway patrol and crime scene units.",25,
Handover,the process where frontline members handover the case file to an I&R investigator who assumes responsibility for the ongoing investigation.,25,
Investigation,"an objective assessment of an act, omission, situation or event with a view to determining whether any breach of law is involved or to assign responsibility for the occurrence.",25,
I&R unit,"which may be a geographically based general crime unit or a theme unit, including those crime units attached to a command.",25,
Oversight,the active supervision of an investigation by a supervisor to ensure that an investigation is conducted utilising a professional and methodical approach and progresses in a timely and efficient manner.,25,
Significant follow-up,"is referenced in the Crime Screening Principles (see Appendix 1 of this policy). In determining significant follow up, consideration must be given to the number (or likely number) of investigative actions, the resource implications and the required level of investigative supervision or management. There are no set number of investigative actions or resources in determining the category and this decision will depend on the circumstances of each investigation. Considerations include: the category of the investigation the work unit and its resource capability the skill and knowledge of the police officer conducting the investigation the need for a team approach to investigate the offence investigation priority risk to victim or community safety potential for the loss of evidence and potential for significant undermining of Victoria Police reputation or loss of public confidence. Also refer to the general VPM Dictionary for definitions and acronyms.",25,
Caseload,the number of investigations calculated and managed by an individual/work unit.,26,
Disclosure,"applies in criminal proceedings to police and prosecuting agencies who have a duty to the court to provide all material that is relevant, or potentially relevant, to an accused person.",26,
Disclosure Certificate,an acknowledgement by the relevant officer that they understand their obligations under both the Criminal Procedure Act and common law.,26,
Frontline unit,"uniform, highway patrol and crime scene units.",26,
Handover,the process where frontline members handover the case file to an I&R investigator who assumes responsibility for the ongoing investigation.,26,
Investigation,"an objective assessment of an act, omission, situation or event with a view to determining whether any breach of law is involved or to assign responsibility for the occurrence.",26,
Investigation and Response (I&R) Unit,"I&R unit which may be a geographically based general crime unit or a theme unit, including those crime units attached to a command.",26,
Oversight,the active supervision of an investigation by a supervisor to ensure that an investigation is conducted using a professional and methodical approach and progresses in a timely and efficient manner.,26,
Serious crime,"an offence (including an attempt) resulting from: Schedule 1, Sentencing Act 1991, offences such as sexual offences, violent offences, drug offences and arson offences driving offences under the Crimes Act 1958 i.e., culpable driving causing death offences under the Road Safety Act 1986 i.e., fail to stop after collision (death/serious injury) terrorism offences the value associated with the offending in accordance with Schedule 1A, Sentencing Act ($50,000 or more), or prior criminal history of the accused",26,Crimes Act 1958; Road Safety Act 1986; Sentencing Act 1991
Throughput,the movement of investigations in and out of a work unit in any given month.,26,
Workload,the amount of time members spend working on investigations. Also refer to the general VPM Dictionary for definitions and acronyms.,26,
Change or suppression practice,"a practice or conduct directed towards a person, whether with or without the person's consent on the basis of the person's sexual orientation or gender identity and for the purpose of: changing or suppressing the sexual orientation or gender identity of the person or; inducing the person to change or suppress their sexual orientation or gender identity (s. 5, the Act). For the purpose of this policy, change or suppression practices will be referred to as offences under the Act.",30,Equal Opportunity Act 2010
Gender identity,"a person's gender-related identity, which may or may not correspond with their designated sex at birth, and includes the personal sense of the body (whether this involves medical intervention or not) and other expressions of gender, including dress, speech, mannerisms, names and personal references (s.4, Equal Opportunity Act 2010).",30,Equal Opportunity Act 2010
Sexual orientation,"a person's emotional, affectional and sexual attraction to, or intimate or sexual relations with, persons of a different gender or the same gender or more than one gender (s.4, Equal Opportunity Act).",30,
Child Abuse Material,"as defined in the Crimes Act 1958, CAM refers to any film, audio, photograph, printed matter, computer game, text, electronic material or any other thing of any kind that describes or depicts a person who is, who appears to be, or is implied to be a child, being a victim of torture, cruelty or physical or sexual abuse, engaging in sexual activity or depicted in an indecent sexual manner or context, and a reasonable person would regard as being, in the circumstances, offensive.",31,Crimes Act 1958
Interpol Baseline 4 Classification Model,"this model is a scale of categories (1 to 4) describing different forms of files, both legal and illegal. Category 1 directly correlates to Interpol Baseline and depicts a real pre-pubescent child under 13 years of age. Category 2 is CAM that does not fit into category 1 but is still illegal to possess within the relevant jurisdiction. Categories 3 and 4 represent non-illegal content. Scope This policy applies to all employees involved in CAM investigations including but not limited to: members from SOCITs, CIUs, the Joint Anti Child Exploitation Team (JACET), prosecution employees, Digital Forensic Officers (DFOs) from the E-Crime Squad, and frontline members. In the case of Professional Standards Command (PSC), CAM must be managed internally by PSC in line with the principles of this policy. PSC has an independent structure relevant to the management of CAM. Responsibilities and procedures",31,
Ante mortem,having been inflicted or occurred before death.,34,
High risk missing person,the risk posed is immediate and there are substantial grounds for believing that the missing person or the public is in danger.,34,
Long-term missing person,a person that has not been located more than 30 days after they were last known to be safe.,34,
Medium risk missing person,the missing person or the public is possibly facing some danger.,34,
Unidentified human remains,any human remains that are found and not identified after three days.,34,
Affected employee,"A Victoria Police employee or former employee who is subject to threats as a consequence of the lawful execution of their duty or motivated by their status as an employee or former employee of Victoria Police. The definition also includes the employee or former employee's spouse/partner, children, immediate family and/or other household members.",40,
Risk,"The degree of likelihood of a threat being carried out based upon the capability and intent of the originator of the threat, and the degree of physical, financial or psychological harm that may be caused if such a threat were to be actioned.",40,
Applicable offence,"under the Act includes any of the following: an indictable offence that is punishable by at least 10 years imprisonment an offence specified at Schedule 1 of the Act an offence against sections 321, 321G or 321M, Crimes Act 1958 in relation to an offence referred to above, or an offence against a law of either the Commonwealth, or another State, or Territory that is equivalent to an offence referred to above.",41,Crimes Act 1958
Associate with another person,under the Act includes either:,41,Crimes Act 1958
being in another person's company,"having sought another person's company or accepted being in the other person's company, or",41,
being in communication with another person,having sought to be in communication with another person or accepted being in communication with another person (including electronic communication).,41,
Corresponding control order,means an order made under a provision of a law of another jurisdiction that is prescribed under the Criminal Organisations Control Regulations 2025.,41,Criminal Organisations Control Regulations 2025
Corresponding declaration,means a declaration made under a provision of a law of another jurisdiction that is prescribed under the Criminal Organisations Control Regulations 2025.,41,Criminal Organisations Control Regulations 2025
Corresponding order,means a corresponding control order or corresponding declaration.,41,
Criminal intelligence,"under the Act means any information, document or other thing relating to actual or suspected criminal activity in Victoria or elsewhere, the disclosure of which could reasonably be expected to: prejudice a criminal investigation, including by revealing intelligence-gathering methodologies, investigative techniques or technologies, or covert practices, or enable the discovery of the existence or identity of a confidential source of information relevant to law enforcement, or endanger a person's life or physical safety.",41,Criminal Organisations Control Regulations 2025
